STATE,ABBR,UNMARRY,TEEN,HS,POV,EMPLOY,ASSIST
Alabama,AL,41.6,4.9,14.4,31.6,63.7,4.7
Alaska,AK,28.2,3.9,9.4,16.9,57.4,4.8
Arizona,AZ,37.5,3.9,16.6,28.3,56.9,4.1
Arkansas,AR,38.2,6.1,14.6,34.2,58.2,4.9
California,CA,32.5,3.4,15.8,23.1,58.1,8.5
Colorado,CO,27.1,3.5,11.7,19.6,62.8,4.4
Connecticut,CT,32.3,3.2,9.4,19.2,71,6.9
Delaware,DE,38.4,2.6,13,24.2,67.7,4.7
District of Columbia,DC,46.7,3.4,12.1,22.6,73.8,13.8
Florida,FL,40.3,3.6,13.3,27.3,62.7,4.6
Georgia,GA,40.1,5.1,14.5,28.8,62.5,3.5
Hawaii,HI,31.2,2.6,7.1,16.6,62,7.1
Idaho,ID,23.6,3.5,9.6,26.2,54.1,4.6
Illinois,IL,35.4,3.5,10.7,23.5,66.5,5.1
Indiana,IN,37.6,4.6,14.5,26.8,63.9,3.2
Iowa,IA,30.3,4,10.2,21.9,72.9,4.4
Kansas,KS,29.1,4.3,12.1,23.6,65.8,3.7
Kentucky,KY,35.2,5.5,11.6,31.8,64.3,5.3
Louisiana,LA,47.7,5.4,15,31.5,62.9,2.4
Maine,ME,36.6,2.4,7.3,25.6,68.5,8.8
Maryland,MD,34.1,3.5,10.6,16.3,68.9,4.3
Massachusetts,MA,30.5,2,8,18.3,70.3,6.4
Michigan,MI,39,4.1,11.8,28.9,64.8,6
Minnesota,MN,27.4,2.9,9.4,18.5,74,6.4
Mississippi,MS,49.5,6.3,13.8,34.2,64,4.2
Missouri,MO,35.7,4.6,11.2,26.6,67,5.4
Montana,MT,28.1,3.7,9.5,21.7,61.9,4.8
Nebraska,NE,28.7,2.6,10.7,22.4,70,4.3
Nevada,NV,35.8,3.6,18,26,61.8,5.7
New Hampshire,NH,31.9,2.4,6.5,15.5,70.6,6
New Jersey,NJ,29.6,2,9.1,18.6,67.5,5.1
New Mexico,NM,43.6,6.3,17.8,34.7,56.1,7
New York,NY,32.3,2.7,13.3,24.2,64.4,6.2
North Carolina,NC,35.9,4.3,13,28.1,63.4,3
North Dakota,ND,28.7,4.5,7.6,17.4,71.7,3.5
Ohio,OH,39.4,4.3,12.6,29.1,67,6.2
Oklahoma,OK,36.4,5.5,14,29.5,58.1,4.2
Oregon,OR,30.4,3.6,11.7,26.5,59.7,9
Pennsylvania,PA,36.6,4,11.2,24.2,66.7,7
Puerto Rico,PR,58.4,10.3,12.6,59.4,52.4,5.5
Rhode Island,RI,41.7,4,11.7,23.2,72.5,8.1
South Carolina,SC,43.1,4,12.9,30.2,64.5,3.4
South Dakota,SD,33.8,4.1,11.4,27.6,69,3.2
Tennessee,TN,39.5,5.6,13,30.5,63.1,7.4
Texas,TX,33.6,5.5,16.6,27,55.6,2.6
Utah,UT,15.5,2.4,8.1,17.2,52.5,2.2
Vermont,VT,29,2.8,7.8,18.4,68.7,9.4
Virginia,VA,29.1,3.2,9.3,18.1,64.5,4
Washington,WA,27.5,3,12,20.3,55.9,6.2
West Virginia,WV,40,4.9,12.5,34.1,54.4,7
Wisconsin,WI,32.2,2.6,8.5,22.4,72,5.1
Wyoming,WY,29.4,5.1,6.3,21.7,62,4.6
